artistName,trackName,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
(G)I-DLE,Nxde,719,0.726,0.91,4.0,-1.948,0.0,0.179,0.0413,7.81e-06,0.479,0.648,135.966,audio_features,6NnCWIWV740gP7DQ8kqdIE,spotify:track:6NnCWIWV740gP7DQ8kqdIE,https://api.spotify.com/v1/tracks/6NnCWIWV740gP7DQ8kqdIE,https://api.spotify.com/v1/audio-analysis/6NnCWIWV740gP7DQ8kqdIE,178453.0,4.0
(G)I-DLE,Queencard,348,0.815,0.834,4.0,-2.828,0.0,0.0475,0.0327,0.000268,0.27,0.692,129.989,audio_features,4uOBL4DDWWVx4RhYKlPbPC,spotify:track:4uOBL4DDWWVx4RhYKlPbPC,https://api.spotify.com/v1/tracks/4uOBL4DDWWVx4RhYKlPbPC,https://api.spotify.com/v1/audio-analysis/4uOBL4DDWWVx4RhYKlPbPC,161240.0,4.0
(G)I-DLE,TOMBOY,1160,0.755,0.87,1.0,-2.414,0.0,0.0936,0.00988,0.0,0.0917,0.645,124.032,audio_features,0IGUXY4JbK18bu9oD4mPIm,spotify:track:0IGUXY4JbK18bu9oD4mPIm,https://api.spotify.com/v1/tracks/0IGUXY4JbK18bu9oD4mPIm,https://api.spotify.com/v1/audio-analysis/0IGUXY4JbK18bu9oD4mPIm,174387.0,4.0
100 gecs,Hollywood Baby,1509,0.426,0.872,10.0,-3.322,1.0,0.115,0.0191,0.0,0.269,0.608,77.292,audio_features,0oigSejhoNen2EdNAIFcm5,spotify:track:0oigSejhoNen2EdNAIFcm5,https://api.spotify.com/v1/tracks/0oigSejhoNen2EdNAIFcm5,https://api.spotify.com/v1/audio-analysis/0oigSejhoNen2EdNAIFcm5,187693.0,4.0
11:11 Music Group,fantasize,163073,,,,,,,,,,,,,,,,,,
3OH!3,DONTTRUSTME,1160,0.791,0.713,5.0,-3.742,0.0,0.254,0.0163,0.0,0.189,0.514,130.012,audio_features,5jzX4dWVQeBTtfBaXnMRt5,spotify:track:5jzX4dWVQeBTtfBaXnMRt5,https://api.spotify.com/v1/tracks/5jzX4dWVQeBTtfBaXnMRt5,https://api.spotify.com/v1/audio-analysis/5jzX4dWVQeBTtfBaXnMRt5,192573.0,4.0
4batz,act ii: date @ 8,23,0.55,0.545,0.0,-9.304,1.0,0.163,0.318,0.0,0.0608,0.412,102.469,audio_features,3QS9ZCtoSCJhmaJ7QNXSAS,spotify:track:3QS9ZCtoSCJhmaJ7QNXSAS,https://api.spotify.com/v1/tracks/3QS9ZCtoSCJhmaJ7QNXSAS,https://api.spotify.com/v1/audio-analysis/3QS9ZCtoSCJhmaJ7QNXSAS,231339.0,4.0
5 Seconds of Summer,She Looks So Perfect,975,0.494,0.951,9.0,-4.237,1.0,0.132,0.000569,0.0,0.327,0.441,160.025,audio_features,1CQ2cMfrmFM1YdfmjENKVE,spotify:track:1CQ2cMfrmFM1YdfmjENKVE,https://api.spotify.com/v1/tracks/1CQ2cMfrmFM1YdfmjENKVE,https://api.spotify.com/v1/audio-analysis/1CQ2cMfrmFM1YdfmjENKVE,202496.0,4.0
5 Seconds of Summer,She's Kinda Hot,1253,0.665,0.909,4.0,-4.806,1.0,0.0316,0.00185,0.0,0.109,0.891,118.03,audio_features,5fsQSDifYpjfbCqvZKPVBj,spotify:track:5fsQSDifYpjfbCqvZKPVBj,https://api.spotify.com/v1/tracks/5fsQSDifYpjfbCqvZKPVBj,https://api.spotify.com/v1/audio-analysis/5fsQSDifYpjfbCqvZKPVBj,216454.0,4.0
5 Seconds of Summer,Youngblood,4620,0.597,0.854,7.0,-5.114,0.0,0.463,0.0169,0.0,0.124,0.152,120.276,audio_features,2iUXsYOEPhVqEBwsqP70rE,spotify:track:2iUXsYOEPhVqEBwsqP70rE,https://api.spotify.com/v1/tracks/2iUXsYOEPhVqEBwsqP70rE,https://api.spotify.com/v1/audio-analysis/2iUXsYOEPhVqEBwsqP70rE,203418.0,4.0
80purppp,Hex,1160,0.845,0.398,5.0,-15.781,1.0,0.268,0.872,0.00713,0.159,0.482,109.996,audio_features,7D7e6hm2LiNd6nLuJF6K9Q,spotify:track:7D7e6hm2LiNd6nLuJF6K9Q,https://api.spotify.com/v1/tracks/7D7e6hm2LiNd6nLuJF6K9Q,https://api.spotify.com/v1/audio-analysis/7D7e6hm2LiNd6nLuJF6K9Q,122222.0,4.0
90degrees,bellyache - sped up,1300,0.704,0.724,7.0,-11.686,0.0,0.174,0.137,0.0793,0.237,0.473,117.926,audio_features,6odlAbUwxKbnOMGbaxF6Aq,spotify:track:6odlAbUwxKbnOMGbaxF6Aq,https://api.spotify.com/v1/tracks/6odlAbUwxKbnOMGbaxF6Aq,https://api.spotify.com/v1/audio-analysis/6odlAbUwxKbnOMGbaxF6Aq,152750.0,4.0
90degrees,harleys in hawaii - sped up,1066,0.596,0.765,1.0,-7.251,0.0,0.053,0.363,0.321,0.426,0.835,165.238,audio_features,5BVkZAneYhaDIaYAj6hiZl,spotify:track:5BVkZAneYhaDIaYAj6hiZl,https://api.spotify.com/v1/tracks/5BVkZAneYhaDIaYAj6hiZl,https://api.spotify.com/v1/audio-analysis/5BVkZAneYhaDIaYAj6hiZl,155970.0,4.0
A-Wall,Loverboy,0,0.604,0.466,0.0,-10.093,1.0,0.0315,0.649,0.0334,0.093,0.499,120.045,audio_features,3CboywxfJIgvHqi2FF4exb,spotify:track:3CboywxfJIgvHqi2FF4exb,https://api.spotify.com/v1/tracks/3CboywxfJIgvHqi2FF4exb,https://api.spotify.com/v1/audio-analysis/3CboywxfJIgvHqi2FF4exb,224520.0,4.0
A.R. Rahman,Jashn-E-Bahaaraa,127570,0.7,0.343,2.0,-10.474,1.0,0.0308,0.767,0.0,0.0789,0.488,137.864,audio_features,1O5mTSQa0sCce9ghhDqIZl,spotify:track:1O5mTSQa0sCce9ghhDqIZl,https://api.spotify.com/v1/tracks/1O5mTSQa0sCce9ghhDqIZl,https://api.spotify.com/v1/audio-analysis/1O5mTSQa0sCce9ghhDqIZl,315173.0,4.0
A.R. Rahman,Kun Faya Kun,139017,0.362,0.378,1.0,-11.008,1.0,0.0329,0.679,0.0,0.091,0.575,87.549,audio_features,7F8RNvTQlvbeBLeenycvN6,spotify:track:7F8RNvTQlvbeBLeenycvN6,https://api.spotify.com/v1/tracks/7F8RNvTQlvbeBLeenycvN6,https://api.spotify.com/v1/audio-analysis/7F8RNvTQlvbeBLeenycvN6,470500.0,4.0
A.R. Rahman,Maahi Ve,16597,0.604,0.72,5.0,-7.276,1.0,0.0603,0.571,1.18e-05,0.12,0.528,130.995,audio_features,1sbW5E7w8tnqpYk0Frx8QG,spotify:track:1sbW5E7w8tnqpYk0Frx8QG,https://api.spotify.com/v1/tracks/1sbW5E7w8tnqpYk0Frx8QG,https://api.spotify.com/v1/audio-analysis/1sbW5E7w8tnqpYk0Frx8QG,240784.0,4.0
A.R. Rahman,Param Sundari,960,0.815,0.761,4.0,-7.162,0.0,0.144,0.192,0.0,0.0272,0.82,121.999,audio_features,3KeMulXbLDJBQdY5PZbGEh,spotify:track:3KeMulXbLDJBQdY5PZbGEh,https://api.spotify.com/v1/tracks/3KeMulXbLDJBQdY5PZbGEh,https://api.spotify.com/v1/audio-analysis/3KeMulXbLDJBQdY5PZbGEh,200219.0,4.0
A.R. Rahman,Raanjhanaa,14257,0.673,0.714,9.0,-8.042,1.0,0.039,0.111,0.0,0.0858,0.78,112.941,audio_features,5OMUXgfXsSukZ0zxelpC3b,spotify:track:5OMUXgfXsSukZ0zxelpC3b,https://api.spotify.com/v1/tracks/5OMUXgfXsSukZ0zxelpC3b,https://api.spotify.com/v1/audio-analysis/5OMUXgfXsSukZ0zxelpC3b,254653.0,4.0
A.R. Rahman,Tere Bina,5526,0.744,0.7,2.0,-7.663,1.0,0.0375,0.278,0.000155,0.068,0.867,144.033,audio_features,4FeczSomVWVyU4FW7xDeAI,spotify:track:4FeczSomVWVyU4FW7xDeAI,https://api.spotify.com/v1/tracks/4FeczSomVWVyU4FW7xDeAI,https://api.spotify.com/v1/audio-analysis/4FeczSomVWVyU4FW7xDeAI,309640.0,4.0
ABBA,Angeleyes,2111,0.719,0.922,11.0,-6.091,1.0,0.0338,0.523,0.000163,0.0867,0.964,133.113,audio_features,7rWgGyRK7RAqAAXy4bLft9,spotify:track:7rWgGyRK7RAqAAXy4bLft9,https://api.spotify.com/v1/tracks/7rWgGyRK7RAqAAXy4bLft9,https://api.spotify.com/v1/audio-analysis/7rWgGyRK7RAqAAXy4bLft9,260893.0,4.0
ABBA,Dancing Queen,152021,0.543,0.87,9.0,-6.514,1.0,0.0428,0.358,0.000939,0.792,0.754,100.804,audio_features,0GjEhVFGZW8afUYGChu3Rr,spotify:track:0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/tracks/0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/audio-analysis/0GjEhVFGZW8afUYGChu3Rr,230400.0,4.0
ABBA,"Money, Money, Money",1877,0.787,0.704,9.0,-6.873,0.0,0.0385,0.535,0.00305,0.089,0.646,120.701,audio_features,3lKN03PDeBnXZS7sDukRBt,spotify:track:3lKN03PDeBnXZS7sDukRBt,https://api.spotify.com/v1/tracks/3lKN03PDeBnXZS7sDukRBt,https://api.spotify.com/v1/audio-analysis/3lKN03PDeBnXZS7sDukRBt,186427.0,4.0
ABBA,Slipping Through My Fingers,54250,0.475,0.26,5.0,-15.997,1.0,0.0322,0.796,0.0016,0.109,0.339,137.212,audio_features,6TvxPS4fj4LUdjw2es4g21,spotify:track:6TvxPS4fj4LUdjw2es4g21,https://api.spotify.com/v1/tracks/6TvxPS4fj4LUdjw2es4g21,https://api.spotify.com/v1/audio-analysis/6TvxPS4fj4LUdjw2es4g21,233720.0,4.0
AKASA,"Aithey Aa (From ""Bharat"")",136858,0.901,0.75,1.0,-4.147,1.0,0.201,0.019,6.58e-05,0.0528,0.42,90.0,audio_features,6rqTxrlx0TuaNMyVkDcxqh,spotify:track:6rqTxrlx0TuaNMyVkDcxqh,https://api.spotify.com/v1/tracks/6rqTxrlx0TuaNMyVkDcxqh,https://api.spotify.com/v1/audio-analysis/6rqTxrlx0TuaNMyVkDcxqh,219491.0,4.0
AKASA,Kalleyan,882,0.724,0.631,6.0,-5.94,0.0,0.0991,0.542,0.0,0.141,0.713,92.194,audio_features,1gghBotNnzs0LaTFDZIAhH,spotify:track:1gghBotNnzs0LaTFDZIAhH,https://api.spotify.com/v1/tracks/1gghBotNnzs0LaTFDZIAhH,https://api.spotify.com/v1/audio-analysis/1gghBotNnzs0LaTFDZIAhH,170994.0,4.0
AKASA,Manmaani,1695,0.805,0.284,0.0,-11.109,1.0,0.0355,0.57,0.0,0.157,0.442,107.984,audio_features,71F3RWCBhiCixxN3fMmxqc,spotify:track:71F3RWCBhiCixxN3fMmxqc,https://api.spotify.com/v1/tracks/71F3RWCBhiCixxN3fMmxqc,https://api.spotify.com/v1/audio-analysis/71F3RWCBhiCixxN3fMmxqc,234444.0,4.0
AKASA,Naiyyo - Reprise,1439,0.62,0.285,11.0,-9.835,0.0,0.0301,0.894,0.0,0.182,0.487,150.057,audio_features,1X6CJvDYrqkbtaOzBJohp7,spotify:track:1X6CJvDYrqkbtaOzBJohp7,https://api.spotify.com/v1/tracks/1X6CJvDYrqkbtaOzBJohp7,https://api.spotify.com/v1/audio-analysis/1X6CJvDYrqkbtaOzBJohp7,248400.0,4.0
AKASA,Shola (feat. Charan),3761,0.887,0.449,4.0,-11.551,0.0,0.311,0.26,0.000124,0.246,0.53,113.039,audio_features,63nOStctrIrxnxXSczPsT1,spotify:track:63nOStctrIrxnxXSczPsT1,https://api.spotify.com/v1/tracks/63nOStctrIrxnxXSczPsT1,https://api.spotify.com/v1/audio-analysis/63nOStctrIrxnxXSczPsT1,123717.0,4.0
ALI,LOST IN PARADISE,100416,0.648,0.904,6.0,-4.565,0.0,0.0786,0.0961,2.07e-06,0.0629,0.728,121.994,audio_features,7kRKlFCFLAUwt43HWtauhX,spotify:track:7kRKlFCFLAUwt43HWtauhX,https://api.spotify.com/v1/tracks/7kRKlFCFLAUwt43HWtauhX,https://api.spotify.com/v1/audio-analysis/7kRKlFCFLAUwt43HWtauhX,327967.0,4.0
AP Dhillon,Dil Nu,998,0.811,0.655,1.0,-7.118,0.0,0.0353,0.0947,1.63e-06,0.068,0.925,117.979,audio_features,7AsG1F1eMWd17RYan8M3Wm,spotify:track:7AsG1F1eMWd17RYan8M3Wm,https://api.spotify.com/v1/tracks/7AsG1F1eMWd17RYan8M3Wm,https://api.spotify.com/v1/audio-analysis/7AsG1F1eMWd17RYan8M3Wm,233666.0,4.0
AP Dhillon,Insane,998,0.796,0.572,8.0,-7.03,0.0,0.0545,0.416,2.55e-05,0.0975,0.304,98.967,audio_features,3UhmuWcFaLS3AO3kI9ynQ2,spotify:track:3UhmuWcFaLS3AO3kI9ynQ2,https://api.spotify.com/v1/tracks/3UhmuWcFaLS3AO3kI9ynQ2,https://api.spotify.com/v1/audio-analysis/3UhmuWcFaLS3AO3kI9ynQ2,206061.0,4.0
