artistName,trackName,danceability,loudness,speechiness,acousticness,valence,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
(G)I-DLE,Nxde,0.726,0.9217350949989082,0.179,0.0413,0.648,6NnCWIWV740gP7DQ8kqdIE,spotify:track:6NnCWIWV740gP7DQ8kqdIE,https://api.spotify.com/v1/tracks/6NnCWIWV740gP7DQ8kqdIE,https://api.spotify.com/v1/audio-analysis/6NnCWIWV740gP7DQ8kqdIE,178453.0,4.0,1
(G)I-DLE,Queencard,0.815,0.8977123826162918,0.0475,0.0327,0.692,4uOBL4DDWWVx4RhYKlPbPC,spotify:track:4uOBL4DDWWVx4RhYKlPbPC,https://api.spotify.com/v1/tracks/4uOBL4DDWWVx4RhYKlPbPC,https://api.spotify.com/v1/audio-analysis/4uOBL4DDWWVx4RhYKlPbPC,161240.0,4.0,1
(G)I-DLE,TOMBOY,0.755,0.909013976850841,0.0936,0.00988,0.645,0IGUXY4JbK18bu9oD4mPIm,spotify:track:0IGUXY4JbK18bu9oD4mPIm,https://api.spotify.com/v1/tracks/0IGUXY4JbK18bu9oD4mPIm,https://api.spotify.com/v1/audio-analysis/0IGUXY4JbK18bu9oD4mPIm,174387.0,4.0,1
100 gecs,Hollywood Baby,0.426,0.8842269054378686,0.115,0.0191,0.608,0oigSejhoNen2EdNAIFcm5,spotify:track:0oigSejhoNen2EdNAIFcm5,https://api.spotify.com/v1/tracks/0oigSejhoNen2EdNAIFcm5,https://api.spotify.com/v1/audio-analysis/0oigSejhoNen2EdNAIFcm5,187693.0,4.0,0
3OH!3,DONTTRUSTME,0.791,0.872761519982529,0.254,0.0163,0.514,5jzX4dWVQeBTtfBaXnMRt5,spotify:track:5jzX4dWVQeBTtfBaXnMRt5,https://api.spotify.com/v1/tracks/5jzX4dWVQeBTtfBaXnMRt5,https://api.spotify.com/v1/audio-analysis/5jzX4dWVQeBTtfBaXnMRt5,192573.0,4.0,1
4batz,act ii: date @ 8,0.55,0.7209270583096747,0.163,0.318,0.412,3QS9ZCtoSCJhmaJ7QNXSAS,spotify:track:3QS9ZCtoSCJhmaJ7QNXSAS,https://api.spotify.com/v1/tracks/3QS9ZCtoSCJhmaJ7QNXSAS,https://api.spotify.com/v1/audio-analysis/3QS9ZCtoSCJhmaJ7QNXSAS,231339.0,4.0,0
5 Seconds of Summer,She Looks So Perfect,0.494,0.8592487442673074,0.132,0.000569,0.441,1CQ2cMfrmFM1YdfmjENKVE,spotify:track:1CQ2cMfrmFM1YdfmjENKVE,https://api.spotify.com/v1/tracks/1CQ2cMfrmFM1YdfmjENKVE,https://api.spotify.com/v1/audio-analysis/1CQ2cMfrmFM1YdfmjENKVE,202496.0,4.0,0
5 Seconds of Summer,She's Kinda Hot,0.665,0.8437158768290021,0.0316,0.00185,0.891,5fsQSDifYpjfbCqvZKPVBj,spotify:track:5fsQSDifYpjfbCqvZKPVBj,https://api.spotify.com/v1/tracks/5fsQSDifYpjfbCqvZKPVBj,https://api.spotify.com/v1/audio-analysis/5fsQSDifYpjfbCqvZKPVBj,216454.0,4.0,1
5 Seconds of Summer,Youngblood,0.597,0.8353079274950863,0.463,0.0169,0.152,2iUXsYOEPhVqEBwsqP70rE,spotify:track:2iUXsYOEPhVqEBwsqP70rE,https://api.spotify.com/v1/tracks/2iUXsYOEPhVqEBwsqP70rE,https://api.spotify.com/v1/audio-analysis/2iUXsYOEPhVqEBwsqP70rE,203418.0,4.0,0
80purppp,Hex,0.845,0.544114435466259,0.268,0.872,0.482,7D7e6hm2LiNd6nLuJF6K9Q,spotify:track:7D7e6hm2LiNd6nLuJF6K9Q,https://api.spotify.com/v1/tracks/7D7e6hm2LiNd6nLuJF6K9Q,https://api.spotify.com/v1/audio-analysis/7D7e6hm2LiNd6nLuJF6K9Q,122222.0,4.0,2
