artistName,trackName,msPlayed
(G)I-DLE,Nxde,719
(G)I-DLE,Queencard,348
(G)I-DLE,TOMBOY,1160
100 gecs,Hollywood Baby,1509
11:11 Music Group,fantasize,163073
3OH!3,DONTTRUSTME,1160
4batz,act ii: date @ 8,23
5 Seconds of Summer,She Looks So Perfect,975
5 Seconds of Summer,She's Kinda Hot,1253
5 Seconds of Summer,Youngblood,4620
80purppp,Hex,1160
90degrees,bellyache - sped up,1300
90degrees,harleys in hawaii - sped up,1066
A-Wall,Loverboy,0
A.R. Rahman,Jashn-E-Bahaaraa,127570
A.R. Rahman,Kun Faya Kun,139017
A.R. Rahman,Maahi Ve,16597
A.R. Rahman,Param Sundari,960
A.R. Rahman,Raanjhanaa,14257
A.R. Rahman,Tere Bina,5526
ABBA,Angeleyes,2111
ABBA,Dancing Queen,152021
ABBA,"Money, Money, Money",1877
ABBA,Slipping Through My Fingers,54250
AKASA,"Aithey Aa (From ""Bharat"")",136858
AKASA,Kalleyan,882
AKASA,Manmaani,1695
AKASA,Naiyyo - Reprise,1439
AKASA,Shola (feat. Charan),3761
ALI,LOST IN PARADISE,100416
AP Dhillon,Dil Nu,998
AP Dhillon,Insane,998
AP Dhillon,TERE TE,1207
ASIAN KUNG-FU GENERATION,アフターダーク,182240
AUDREY NUNA,I Try,3181
Aastha Gill,Kamariya,151380
Abby Holliday,Predictable Life,6887
Abhijeet,"Chaand Taare (From ""Yes Boss"")",7957
Abhijeet,"Hum to Deewane Huye (From ""Baadshah"")",17809
Abhijeet,Jhanjharia - Male Version,1555
Abhijeet,Main Hoon Na(Sad),225834
Abhijeet,"Main Koi Aisa Geet Gaoon (From ""Yes Boss"")",28374
Abhijeet,Woh Ladki Jo,6620
Acid Cherry,Snakes and Ants,0
Adele,All I Ask,1002
Adele,Chasing Pavements,1602
Adele,Easy On Me,905
Adele,Rolling in the Deep,8684
Adele,Set Fire to the Rain,1253
Adele,Skyfall,1091
Adele,Someone Like You,196046
Aditya A,Chaand Baaliyan,2438
Aditya Rikhari,Faasle,64481
Aditya Rikhari,Samjho Na,123776
Aditya Rikhari,Tu Rehti Hai,166608
Ado,Odo,112918
Adrey,Listening,193700
Adventure Time,Everything Stays (feat. Olivia Olson),1486
Aerosmith,Janie's Got A Gun,1996
Aimer,Re:pray,307160
Aimer,今日から思い出 Evergreen ver.,296670
Ajay-Atul,Abhi Mujh Mein Kahin,252517
Ajay-Atul,Chikni Chameli,10797
Ajit Kale,Tere Sath Mein,882
Akanksha Sharma,Shinchan Title Track,11071
Akhil,"Duniyaa (From ""Luka Chuppi"")",1416
Akon,Chammak Challo,226115
Akon,Criminal,113941
Akon,Lonely,1602
Akon,Smack That,91818
Alan Menken,"Kingdom Dance - From ""Tangled""/Score",152811
Alec Benjamin,If We Have Each Other,2205
Alec Benjamin,Let Me Down Slowly,169353
Alec Benjamin,Water Fountain,487
Alex G,Mary,5973
Alex G,Sarah,1045
Alex G,Things to Do,14122
Alex G,Treehouse,123626
Alex Porat,HATELOVE,3877
Alex Turner,Hiding tonight,2794
Alex Turner,It's hard to get around the wind,0
Alex Turner,Piledriver waltz,28685
Alex Turner,Stuck on the puzzle,211053
Alexander Rybak,Fairytale,1088
Alexandra Savior,Cupid,29187
Alexandra Savior,Girlie,202920
Alfaaz Ft,Fantasy,1044
Alfons,Ganjaman,4713
Alice Phoebe Lou,Open My Door,1194
Alicia Keys,If I Ain't Got You,2763
Aliyah's Interlude,IT GIRL,229413
Aliyah's Interlude,IT GIRL - Sped up Version,1152
Alka Yagnik,Ae Mere Humsafar,298
Alka Yagnik,"Agar Tum Saath Ho (From ""Tamasha"")",1811
Alka Yagnik,Laga Prem Rog,394
Alka Yagnik,Tip Tip Barsa Paani,135061
All Time Low,"Dear Maria, Count Me In",1091
Allegra Neve,Rewind,0
Altaf Raja,Pehle to Kabhi Kabhi,2252
Alvvays,Adult Diversion,1207
Alvvays,Next of Kin,1728
Alvvays,Tile By Tile,14164
Alyssa Mendonsa,Khaabon Ke Parinday,242922
Amaal Mallik,Buddhu Sa Mann,1066
Amaal Mallik,"Chale Aana (From ""De De Pyaar De"")",3712
Amaal Mallik,Main Rahoon Ya Na Rahoon,202282
Amaal Mallik,Soch Na Sake,248871
Amaarae,Angels in Tibet,952
Amaarae,FEEL A WAY,1718
Amaarae,SAD GIRLZ LUV MONEY,9195
Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),294638
Aman Pahul,Kala Chasma,3297
Amit Kumar,Bade Achhe Lagte Hain,371821
Amit Kumar,Ye Zamin Gaa Rahi Hai - Teri Kasam / Soundtrack Version,3204
Amit Trivedi,"Ghodey Pe Sawaar (From ""Qala"")",142361
Amit Trivedi,"Iktara (From ""Wake Up Sid"")",218410
Amit Trivedi,Jhalla Wallah,344144
Amit Trivedi,Love You Zindagi,1280
Amit Trivedi,Madhubala,2252
Amit Trivedi,Naina Da Kya Kasoor,1904
Amit Trivedi,Sham,768
Amit Trivedi,Shubhaarambh,53475
Amit Trivedi,Suno Aisha,243832
Amit Trivedi,Tai Tai Phis,2089
Amit Trivedi,Ud-daa Punjab,626
Amit Trivedi,Zinda,981
Amitabh Bhattacharya,Tera Rastaa Chhodoon Na,6455
Ampere102,You're Spinning Me Arround,5224
Amrinder Gill,Ishq Na Ho Jave,1260
Amy Winehouse,Back To Black,1021
Anand Raj Anand,Kiya Kiya,238143
Ananya Birla,Teri Meri Kahani,6896
Aneela Mirza,Say Na Say Na,1990
Animal Collective,FloriDada,50475
Animal Collective,Golden Gal,392835
Animal Collective,Leaf House,3413
Animenzz,This Game (from No Game No Life),50155
Anirudh Ravichander,Chaleya,218244
Anirudh Ravichander,Hukum - Thalaivar Alappara,1462
Anirudh Ravichander,"Jailer Announcement Theme (From ""Jailer"")",1536
Anirudh Ravichander,Not Ramaiya Vastavaiya,1323
Anitta,Downtown,859
