,endTime,artistName,trackName,msPlayed
0,2022-12-16 04:31,Taylor Swift,Karma,153762
1,2023-07-24 15:24,Billie Eilish,TV,236010
2,2023-07-25 09:14,Taylor Swift,champagne problems,215850
3,2023-07-25 09:17,Olivia Rodrigo,vampire,208597
4,2023-07-25 09:21,Cochise,Tell Em,176576
5,2023-07-25 09:25,Taylor Swift,Snow On The Beach (feat. More Lana Del Rey),225962
6,2023-07-25 09:28,Miley Cyrus,Angels Like You,150634
7,2023-07-25 12:32,Taylor Swift,Vigilante Shit,258837
8,2023-07-25 12:37,Lana Del Rey,West Coast,254271
9,2023-07-25 12:40,QUIN,Mushroom Chocolate (with 6LACK),189760
10,2023-07-25 12:44,Taylor Swift,Snow On The Beach (feat. More Lana Del Rey),217770
11,2023-07-25 12:46,Lana Del Rey,West Coast,30186
12,2023-07-25 12:46,Sabrina Carpenter,emails i can’t send,132906
13,2023-07-25 16:55,QUIN,Mushroom Chocolate (with 6LACK),1151
14,2023-07-25 16:55,Cochise,Tell Em,123008
15,2023-07-25 16:58,Miley Cyrus,Angels Like You,128042
16,2023-07-25 17:04,Taylor Swift,Out Of The Woods,80234
17,2023-07-25 17:07,Taylor Swift,Vigilante Shit,162389
18,2023-07-25 17:10,Taylor Swift,Karma,170560
19,2023-07-25 17:14,QUIN,Mushroom Chocolate (with 6LACK),202901
20,2023-07-26 03:06,ROSALÍA,MALAMENTE - Cap.1: Augurio,304362
21,2023-07-26 03:12,Taylor Swift,Karma,725
22,2023-07-26 03:12,Taylor Swift,Maroon,120256
23,2023-07-26 03:14,Sabrina Carpenter,emails i can’t send,3187
24,2023-07-26 03:14,Taylor Swift,Vigilante Shit,137454
25,2023-07-26 03:17,Olivia Rodrigo,vampire,206698
26,2023-07-26 03:21,Lana Del Rey,Pretty When You Cry,228586
27,2023-07-26 03:25,Taylor Swift,Snow On The Beach (feat. More Lana Del Rey),224746
28,2023-07-26 03:27,Miley Cyrus,Angels Like You,95616
29,2023-07-26 03:30,Ryan Gosling,I'm Just Ken (From Barbie The Album),216554
30,2023-07-26 03:32,Isabel LaRosa,i'm yours,896
31,2023-07-26 03:32,Lana Del Rey,West Coast,3989
32,2023-07-26 03:32,Isabel LaRosa,i'm yours sped up,105920
33,2023-07-26 03:32,Hotel Ugly,Shut up My Moms Calling (Sped up),853
34,2023-07-26 03:36,Cults,Gilded Lily,209450
35,2023-07-26 03:39,Sabrina Carpenter,because i liked a boy,938
36,2023-07-26 03:39,Dybbukk Covers,I'm Only a Fool for You,1770
37,2023-07-26 03:39,Taylor Swift,cardigan,224789
38,2023-07-26 03:39,Conan Gray,Memories,1642
