,endTime,artistName,trackName,msPlayed
0,2024-01-30 02:37,Laufey,Lovesick,173866
1,2024-01-30 02:48,Laufey,Promise,319502
2,2024-01-30 02:54,Laufey,From The Start,118300
3,2024-01-30 03:08,Laufey,Serendipity,103978
4,2024-01-30 03:08,Laufey,Falling Behind,10175
5,2024-01-30 03:11,Faye Webster,Kingston,180224
6,2024-01-30 03:16,bôa,Duvet,197546
7,2024-01-30 03:17,Suki Waterhouse,Good Looking,62506
8,2024-01-30 03:24,Laufey,Beautiful Stranger,201532
9,2024-01-30 03:24,Laufey,Valentine,9646
10,2024-01-30 13:09,Laufey,Valentine,132352
11,2024-01-30 13:17,Pritam,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",4885
12,2024-01-30 13:19,Eric Nam,I Don't Know You Anymore,62890
13,2024-01-30 13:21,The Rose,Back To Me,57173
14,2024-01-30 13:24,Kenya Grace,Strangers,127741
15,2024-01-30 13:27,Suki Waterhouse,Good Looking,7011
16,2024-01-30 13:30,Karun,Maharani,138171
17,2024-01-30 13:33,Faye Webster,Kingston,938
18,2024-01-30 13:36,Bonnie Tyler,Total Eclipse of the Heart,153472
19,2024-01-30 13:42,Taylor Swift,illicit affairs,1664
20,2024-01-30 13:42,Taylor Swift,The Way I Loved You (Taylor’s Version),104682
21,2024-01-30 13:42,Sabrina Carpenter,Feather,746
22,2024-01-30 13:42,Mitski,My Love Mine All Mine,5504
23,2024-01-30 13:48,Anuv Jain,Husn,283498
24,2024-01-30 13:49,Vishal Mishra,"Kaise Hua (From ""Kabir Singh"")",52117
25,2024-01-30 17:21,Vishal Mishra,"Kaise Hua (From ""Kabir Singh"")",253492
26,2024-01-30 17:24,Sabrina Carpenter,Feather,4760
27,2024-01-30 17:24,Sabrina Carpenter,emails i can’t send,152949
28,2024-01-30 17:39,Conan Gray,Astronomy,1160
29,2024-01-30 17:39,Taylor Swift,"You're On Your Own, Kid",266077
30,2024-01-30 17:39,Billie Eilish,TV,301
31,2024-01-30 17:39,Conan Gray,People Watching,487
32,2024-01-30 17:39,Lizzy McAlpine,ceilings,1462
33,2024-01-30 17:39,Sabrina Carpenter,Nonsense,1625
34,2024-01-30 17:39,Olivia Rodrigo,the grudge,603
35,2024-01-30 17:39,Sabrina Carpenter,because i liked a boy,743
36,2024-01-30 17:39,Ariana Grande,Daydreamin',185
37,2024-01-30 17:39,Taylor Swift,You’re Losing Me (From The Vault),4063
38,2024-01-30 17:39,Sabrina Carpenter,Read your Mind,3250
39,2024-01-30 17:39,Lyn Lapid,In My Mind,1114
40,2024-01-30 17:39,Taylor Swift,cardigan,1439
41,2024-01-30 17:39,SZA,Kill Bill,0
